Region,WY,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Total
San Joaquin,1913,1.01,2.8,1.26,5.4,1.74,2.96,2.11,2.09,2.77,1.12,1.3,0.05,24.61
San Joaquin,1914,0.08,4.55,7.91,21.26,5.17,0.94,5.18,1.05,1.07,0.02,0,0.74,47.96
San Joaquin,1915,1.71,0.61,3.92,7.68,9.2,2.73,3.53,6.94,0,0,0,0.13,36.44
San Joaquin,1916,0,1.47,5.87,20,5.87,6.31,0.84,0.67,0,0,0.6,1.37,43
San Joaquin,1917,6.77,1.64,8.19,1.69,12.54,2.78,1.46,1.71,0,0.24,0.04,0.01,37.09
San Joaquin,1918,0,1.53,1.79,0.97,10.96,11.7,0.42,1.84,0.15,0.2,0.15,2.71,32.42
San Joaquin,1919,1.69,5.39,2.18,1.45,10.29,5.69,0.53,1.12,0,0,0,1.89,30.23
San Joaquin,1920,0.95,0.78,6.34,1.45,4.29,9.55,4.86,0.15,0.57,0.02,1.35,0.32,30.66
San Joaquin,1921,5.41,4.36,6.25,9.69,3.33,4.53,0.7,2.25,0.3,0,0,0.59,37.41
San Joaquin,1922,0.58,0.59,13.1,5.52,8.11,6.05,0.85,2.63,0.42,0.53,0.12,0,38.5
San Joaquin,1923,1.67,4.81,9.73,6.72,1.21,0.76,7.98,0.86,1.05,0,0.07,2.34,37.21
San Joaquin,1924,1.49,0.69,1.89,2.74,1.34,4.45,1.6,0.42,0,0,0,0.01,14.63
San Joaquin,1925,5.15,4.16,6.57,2.13,9.96,5.48,4.04,2.28,1.4,0.25,0.33,0.39,42.15
San Joaquin,1926,2.83,1.79,2.43,4.49,8.23,1.05,6.83,0.95,0.27,0.2,0,0,29.06
San Joaquin,1927,0.45,12.13,1.82,4.83,11.21,3.52,4.68,0.63,0.56,0,0.13,0.2,40.15
San Joaquin,1928,5.28,4.92,3.29,2.49,3.35,9.89,2.86,1.07,0.35,0,0,0,33.49
San Joaquin,1929,0.21,3.27,4.12,2.07,3.18,6.06,4.25,0.32,2.95,0.08,0,0.73,27.22
San Joaquin,1930,0.01,0,3.49,6.62,5.58,4.59,3.03,2.34,0.1,0,0.02,1.16,26.94
San Joaquin,1931,0.56,4.82,0.31,4.88,3.25,2.2,2.11,2.63,1.16,0,0.08,0.27,22.28
San Joaquin,1932,0.68,5.62,14.72,6.75,7.83,1.55,2.41,2.78,0.27,0.23,0.09,0.06,42.98
San Joaquin,1933,0.08,0.96,3.56,10.31,1.51,4.89,1.27,3.64,0.49,0.01,0,0.11,26.82
San Joaquin,1934,2.52,0.06,8.58,3.26,6.71,0.38,0.3,1.64,0.98,0,0.07,0.89,25.37
San Joaquin,1935,2.64,6.13,4.25,8.8,2.91,6.71,11.5,0.36,0,0.07,0.22,0.02,43.6
San Joaquin,1936,2.08,1.39,2.45,8.13,20.38,2.8,2.59,0.64,1.8,0.44,0.02,0.14,42.88
San Joaquin,1937,1.65,0.13,10.41,7.19,13.19,7.62,2.45,0.1,0.33,0.14,0,0,43.21
San Joaquin,1938,0.77,2.6,12.34,6.03,15.89,15,4.49,1.04,0.73,0.53,0,0.93,60.35
